이름,슬롯,타입,옵션
Tiklandian Visage,Head,Voodoo Mask,"Horrify causes you to Fear and Root enemies around you for 6–8 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 360–472 Base Armor"
Towers of the Light,Legs,Set Pants,Part of the Seeker of the Light set
Trag'oul Coils,Wrists,Bracers,Healing wells replenish all resources and reduce cooldowns by 45-60 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; 336-421 Base Armor ; One of 3 Magic Properties (varies) ; +416–500 Dexterity
Triumvirate,Off-hand,Orb,"Your Signature Spells increase the damage of Arcane Orb by 75–100% for 6 seconds, stacking up to 3 times. ; This source is perfect for Wizards who are using different types of elemental skills. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Primary Stats"
Tyrael’s Might,Chest,Chest Armor,"+10-20% Damage to Demons ; Chest armor does not normally come with Movement Speed. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 397–471 Base Armor"
Tzo Krin's Gaze,Head,Spirit Stone,"Wave of Light is now cast at your enemy. ; This headpiece allows you to cast Wave of Light where your cursor is located [ie. ranged], instead of simply casting it it in front of you in the direction of your cursor. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 322–359 Base Armor"
Uhkapian Serpent,Off-hand,Mojo,"25–30% of the damage you take is redirected to your Zombie Dogs. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Primary Stats"
Uliana's Burden,Legs,Set Pants,Part of the Uliana
Uliana's Destiny,Feet,Set Boots,Part of the Uliana
Uliana's Fury,Hands,Set Gloves,Part of the Uliana
Uliana's Heart,Chest,Set Chest Armor,Part of the Uliana
Uliana's Spirit,Head,Set Helmet,Part of the Uliana
Uliana's Strength,Shoulders,Set Shoulders,Part of the Uliana
Unbound Bolt,Weapon (2H),Bow,Crafted Bow that has 3 random Magic Properties.
Unholy Plates,Legs,Set Pants,Part of the Unhallowed Essence set
Unity,Ring,Ring,"All damage taken is split between wearers of this item. ; For this example an attack does 100 damage, Player A's damage mitigation is 70% and Player B's is 50%. ; When A gets hit, the attack is reduced to 30 damage, then gets halved and both players take 15 damage. ; When B gets hit, the attack is reduced to 50 damage, then gets halved and both players take 25 damage. ; If there are 3 Players & A gets hit, the resulting 30 damage will result in each Player taking 10 damage. ; As you can see, it is a good idea for the player with the most damage mitigation to take most of the damage."
Unrelenting Phalanx,Off-hand,Crusader Shield,"Phalanx now casts twice. ; Drops exclusively in Season 1. ; Allows Phalanx to summon twice as many Avatars, applies to all rune variants. ; Level 70 stat ranges shown below. ; 1980–2277 Base Armor ; +10.0–20.0% Chance to Block"
Unsanctified Shoulders,Shoulders,Set Shoulders,Part of the Unhallowed Essence set
Uskang,Weapon (2H),Bow,"Lightning skills deal 15–20% more damage. ; This bow comes with a large bonus to all of the Demon Hunter's Lightning based skills. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; Damage"
Utar's Roar,Weapon (1H),One-Handed Axe,Crafted Axe that has 4 random Magic Properties.
Vadim's Surge,,Enchantress Focus,"Equip on Follower: Reduces the cooldown of all Follower skills by 50% ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; This focus reduces all of the Enchantress' skill cooldowns by 50%. ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; +4 Random Magic Properties"
Valla's Bequest,Weapon (1H),Hand Crossbow,Strafe projectiles pierce.
Valthek's Rebuke,Weapon (2H),Staff,"Energy Twister now travels in a straight path. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Veiled Crystal,Material,Crafting Material,Obtained by using the Blacksmith to salvage rare weapons and armor. ; Obtained by salvaging level 61-70 rare items.
Velvet Camaral,Head,Wizard Hat,"Double the number of enemies your Electrocute jumps to. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
Vengeful Wind,Weapon (1H),Fist Weapon,"Increases the maximum stack count of Sweeping Wind by 3. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; This fist weapon increases the maximum stack count of Sweeping Wind to 6 stacks. ; Level 70 stat ranges shown below. ; Damage"
Vial of Putridness,Material,Crafting Material,Can be combined with other demonic body parts to create a ring of incredible power. ; Material for Hellfire Ring and Hellfire Amulet . ; Drops from the Uber Ghom & Rakanoth encounter in the Infernal Machine Event. ; Torment 1 - 25% ; Torment 2 - 28% ; Torment 3 - 33%
Vigilance,Weapon (2H),Polearm,"Getting hit has a chance to automatically cast Inner Sanctuary. ; Casts the none runed version of Inner Sanctuary - ""Create a runic circle of protection on the ground for 6 seconds that reduces all damage taken by 55% for all allies inside."" ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Vile Ward,Shoulders,Shoulders,"Furious Charge deals 30–35% increased damage for every enemy hit while charging. ; The more enemies you hit during your Furious Charge the more damage you will be doing to the last enemy you hit. Threefore, it may be a good idea to line up the enemies so that you end up hitting an elite last. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 353–419 Base Armor"
Visage of Giyua,Head,Voodoo Mask,"Summon a Fetish Army after you kill 2 elites. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 360–472 Base Armor"
